Title,Author,price,pages,Rating,star5,star4,star3,star2,star1,language,publisher,ISBN,contents
Data Structures the Fun Way: An Amusing Adventure with Coffee-Filled Examples,[ Jeremy Kubica],39.99,304,5,100%,,,,,English,"No Starch Press (November 8, 2022)",978-1718502604,"Part 1: Thinking Computationally

Chapter 1: What Are Data Structures?
Chapter 2: Algorithms and Running Time Analysis
Chapter 3: Stacks and Queues
Chapter 4: Linked Lists
Chapter 5: Trees
Chapter 6: Hash Tables
Chapter 7: Graphs
Part 2: Putting It All Together

Chapter 8: Recursion
Chapter 9: Caches and Bloom Filters
Chapter 10: Skip Lists
Chapter 11: Quadtrees
Chapter 12: Putting It All to Work"
"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",[ Jonathan Schwabish],25.98,464,4.4,72%,13%,7%,2%,6%,English,"Columbia University Press (February 9, 2021)",978-0231193115,"Part 1: Principles of Data Visualization

Introduction
Visual Processing and Perceptual Rankings
Five Guidelines for Better Data Visualizations
Form and Function: Let Your Audience's Needs Drive Your Data Visualization Choices
Part 2: Data Visualization Types

Comparing Categories
Time
Distribution
Geospatial
Relationship
Part-to-Whole
Qualitative
Tables
Part 3: Advanced Topics

Developing a Data Visualization Style Guide
Redesigns
Conclusion
Appendices

Appendix 1: Data Visualization Tools
Appendix 2: Further Reading and Resources"
The Self-Taught Computer Scientist: The Beginner's Guide to Data Structures & Algorithms,[ Cory Althoff],19.49,224,4.5,76%,9%,12%,2%,2%,English,"Wiley; 1st edition (October 1, 2021)",978-1119724414,"Chapter 1: What Is Computer Science?

The Core Concepts of Computer Science
How Data Structures and Algorithms Fit In
Chapter 2: Arrays

What Are Arrays?
Common Array Operations
Array Implementations
Array Use Cases
Chapter 3: Linked Lists

What Are Linked Lists?
Common Linked List Operations
Linked List Implementations
Linked List Use Cases
Chapter 4: Stacks

What Are Stacks?
Common Stack Operations
Stack Implementations
Stack Use Cases
Chapter 5: Queues

What Are Queues?
Common Queue Operations
Queue Implementations
Queue Use Cases
Chapter 6: Hash Tables

What Are Hash Tables?
Common Hash Table Operations
Hash Table Implementations
Hash Table Use Cases
Chapter 7: Binary Trees

What Are Binary Trees?
Common Binary Tree Operations
Binary Tree Implementations
Binary Tree Use Cases
Chapter 8: Binary Heaps

What Are Binary Heaps?
Common Binary Heap Operations
Binary Heap Implementations
Binary Heap Use Cases
Chapter 9: Graphs

What Are Graphs?
Common Graph Operations
Graph Implementations
Graph Use Cases
Chapter 10: Algorithm Analysis

What Is Algorithm Analysis?
Common Algorithm Time and Space Complexities
How to Analyze Algorithms
Chapter 11: Common Algorithms

Linear Search
Binary Search
Sorting Algorithms
Hashing Algorithms
Tree Search Algorithms
Graph Search Algorithms
Chapter 12: Technical Interviews

What to Expect in a Technical Interview
How to Prepare for a Technical Interview
Conclusion

Next Steps for Self-Taught Computer Scientists"
Practical Statistics for Data Scientists: 50 Essential Concepts,"[ Peter Bruce,  and , Andrew Bruce]",60,318,4.5,71%,15%,7%,2%,5%,English,"O'Reilly Media; 1st edition (June 13, 2017)",978-1491952962,"
Table of Contents

Preface
Introduction
Part 1: Elements of Data Science

Chapter 1: Elements of Structured Data
Chapter 2: Rectangular Data: Data Frames and Indexes
Chapter 3: Nonrectangular Data Structures
Part 2: Exploratory Data Analysis

Chapter 4: Estimates of Location
Chapter 5: Estimates of Variability
Chapter 6: Exploring the Data Distribution
Chapter 7: Exploring Binary and Categorical Data
Chapter 8: Correlation
Chapter 9: Exploring Two or More Variables
Part 3: Statistical Modeling

Chapter 10: Simple Linear Regression
Chapter 11: Multiple Linear Regression
Chapter 12: Logistic Regression
Chapter 13: Decision Trees
Chapter 14: Support Vector Machines
Chapter 15: Random Forests
Part 4: Unsupervised Learning

Chapter 16: Principal Components Analysis
Chapter 17: K-Means Clustering
Chapter 18: Hierarchical Clustering
Chapter 19: Model-Based Clustering
Chapter 20: Scaling and Categorical Variables
Part 5: Advanced Topics

Chapter 21: Time Series Analysis
Chapter 22: Causal Inference
Chapter 23: Statistical Learning Theory"
Data Conscience: Algorithmic Siege on our Humanity,"[ Brandeis Hill Marshall,  and , Timnit Gebru]",35.49,352,4.5,75%,25%,,,,English,"Wiley; 1st edition (September 21, 2022)",978-1119821182,"Part I Transparency

Chapter 1 Oppression By Design
Chapter 2 Morality 27
Chapter 3 Bias 61
Chapter 4 Computational Thinking in Practice 87
Part II Accountability

Chapter 5 Messy Gathering Grove 119
Chapter 6 Inconsistent Storage Sanctuary 143
Chapter 7 Circus of Misguided Analysis 163
Chapter 8 Double-Edged Visualization Sword 191
Part III Governance

Chapter 9 By the Law 215
Chapter 10 By Algorithmic Influencers 231
Chapter 11 By the Public 263
Appendix

A. Code for app.py
B. Code for screen.py
C. Code for search.py
D. Pseudocode for faceit.py"
The Art of Statistics: How to Learn from Data,[ David Spiegelhalter],17.99,448,4.6,73%,19%,6%,1%,2%,English,"Basic Books (August 17, 2021)",978-1541675704,"Getting Things in Proportion: Categorical Data and Percentages
Summarizing and Communicating Numbers. Lots of Numbers
Why Are We Looking at Data Anyway? Populations and Measurement
What Causes What?
Modelling Relationships Using Regression
Algorithms, Analytics and Prediction
How Sure Can We Be About What Is Going On? Estimates and Intervals
Probability - the Language of Uncertainty and Variability
Putting Probability and Statistics Together
Answering Questions and Claiming Discoveries
Learning from Experience the Bayesian Way
How Things Go Wrong
How We Can Do Statistics Better
In Conclusion"
Democracy's Data: The Hidden Stories in the U.S. Census and How to Read Them,[ Dan Bouk],25.49,384,4.6,73%,14%,14%,,,English,"MCD (August 23, 2022)",978-0374602543,"Chapter 1: The Question Men

The Census as a Ritual
The Making of the 1940 Census
The Census Takers
Chapter 2: Names and Negotiations

Counting Names
Negotiating Identity
Chapter 3: Partners

Husband and Wife Census Teams
Same-Sex Census Partners
Chapter 4: Counting with Friends

Friendship and the Census
The Social World of the Census Taker
Chapter 5: Silences and White Supremacy

Counting Race
The Census and White Supremacy
Chapter 6: Uncle Sam v. Senator Tobey

The Confidentiality Crisis
The Battle over the Census
Chapter 7: The Inventory and the Arsenal

The Census Bureau Goes to War
The Census and the Internment of Japanese Americans
Chapter 8: The Data's Depths

Reading the Census
The Hidden Stories of the 1940 Census"
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"[ Hariom Tatsat, Sahil Puri, et al.]",44.49,432,4.3,66%,18%,6%,3%,7%,English,"O'Reilly Media; 1st edition (December 1, 2020)",978-1492073055,"Part 1: Introduction

Chapter 1: Current and Future Machine Learning Applications in Finance
Chapter 2: Machine Learning, Deep Learning, Artificial Intelligence, and Data Science
Chapter 3: Machine Learning Types
Part 2: Supervised Learning

Chapter 4: Supervised Learning Regression Models for Trading Strategies, Derivative Pricing, and Portfolio Management
Chapter 5: Supervised Learning Classification Models for Credit Default Risk Prediction, Fraud Detection, and Trading Strategies
Chapter 6: Case Study 1: Stock Price Prediction
Chapter 7: Case Study 2: Derivative Pricing
Chapter 8: Case Study 3: Investor Risk Tolerance and Robo-Advisors
Chapter 9: Case Study 4: Yield Curve Prediction
Part 3: Unsupervised Learning

Chapter 10: Dimensionality Reduction Techniques with Case Studies in Portfolio Management, Trading Strategy, and Yield Curve Construction
Chapter 11: Clustering Algorithms and Techniques for Finding Similar Objects, with Case Studies in Trading Strategies and Portfolio Management
Part 4: Reinforcement Learning

Chapter 12: Reinforcement Learning Models and Techniques Used for Building Trading Strategies, Derivatives Hedging, and Portfolio Management
Part 5: Natural Language Processing

Chapter 13: Natural Language Processing and Its Applications in Finance"
Effective Data Science Infrastructure: How to make data scientists productive,[ Ville Tuulos],47.99,352,4.6,82%,18%,,,,English,"Manning (August 16, 2022)",978-1617299193,"Chapter 1: Introducing Data Science Infrastructure

What is data science infrastructure?
Why is data science infrastructure important?
The benefits of effective data science infrastructure
The challenges of building and managing data science infrastructure
How this book can help you
Chapter 2: The Toolchain of Data Science

The different stages of the data science workflow
The tools and technologies used at each stage
How to choose the right tools for your needs
Building a cohesive data science environment
Chapter 3: Introducing Metaflow

What is Metaflow?
Why use Metaflow for data science projects?
The benefits of using Metaflow
How to get started with Metaflow
Chapter 4: Scaling with the Compute Layer

The different types of compute resources available for data science
How to choose the right compute resources for your needs
Scaling your compute resources up or down as needed
Managing compute costs
Chapter 5: Practicing Scalability and Performance

Designing scalable and performant data science workflows
Using caching and other techniques to improve performance
Monitoring and managing the performance of your data science workflows
Chapter 6: Going to Production

Deploying machine learning models to production
Monitoring and managing production models
Updating and retraining production models
Chapter 7: Processing Data

Ingesting and processing data from different sources
Cleaning and preparing data for analysis
Storing and managing data efficiently
Chapter 8: Using and Operating Models

Serving models to users
Monitoring model performance
Updating and retraining models
Chapter 9: Machine Learning with the Full Stack

How to use the full stack of data science infrastructure to build and deploy machine learning applications
Real-world examples of how companies are using data science infrastructure to achieve their business goals
Conclusion

The future of data science infrastructure
How to stay ahead of the curve"
Data Juice: 101 Stories of How Organizations Are Squeezing Value from Available Data Assets,[ Douglas B. Laney],28.95,370,4.4,77%,6%,6%,11%,,English,"Douglas B. Laney (June 29, 2022)",978-1737169901,"Introduction
Part 1: What Is Data Juice?
Chapter 1: The Data Deluge
Chapter 2: The Data Juice Value Chain
Chapter 3: Data Juice Use Cases
Part 2: Data Juice Stories
Chapter 4: How Netflix Uses Data Juice to Recommend Movies and TV Shows
Chapter 5: How Amazon Uses Data Juice to Personalize Your Shopping Experience
Chapter 6: How Walmart Uses Data Juice to Reduce Costs and Improve Efficiency
Chapter 7: How Bank of America Uses Data Juice to Detect Fraud and Reduce Risk
Chapter 8: How General Electric Uses Data Juice to Improve the Performance of Its Industrial Machines
Chapter 9: How the US Government Uses Data Juice to Improve Public Services
Chapter 10: How Nonprofits Use Data Juice to Make a Bigger Impact
Part 3: Squeezing the Most Value from Your Data Juice
Chapter 11: Building a Data-Driven Culture
Chapter 12: Choosing the Right Data Tools and Technologies
Chapter 13: Managing Your Data Assets
Chapter 14: Governing Your Data Use
Conclusion"
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),,80,510,4.8,84%,9%,7%,,,English,"Chapman and Hall/CRC; 1st edition (November 22, 2019)",978-1138492530,"Importing, Summarizing, and Visualizing Data
Introduction
Importing and Manipulating Data in Python
Summarizing Data
Visualizing Data
Statistical Learning
Introduction
Supervised and Unsupervised Learning
Model Assessment and Selection
Monte Carlo Methods
Introduction
Monte Carlo Sampling
Importance Sampling
Markov Chain Monte Carlo
Unsupervised Learning
Introduction
Clustering
Dimensionality Reduction
Regression
Introduction
Linear Regression
Logistic Regression
Nonparametric Regression
Regularization and Kernel Methods
Introduction
Ridge Regression and Lasso Regression
Kernel Methods
Classification
Introduction
Support Vector Machines
Decision Trees
Ensemble Methods
Deep Learning
Introduction
Neural Networks
Convolutional Neural Networks
Recurrent Neural Networks
Linear Algebra and Functional Analysis
Vector Spaces, Bases, and Matrices
Eigenvalues and Eigenvectors
Singular Value Decomposition
Multivariate Differentiation and Optimization
Multivariate Differentiation
Optimization
Probability and Statistics
Random Experiments and Probability Spaces
Discrete and Continuous Random Variables
Statistical Estimation and Hypothesis Testing
Python Primer
Getting Started
Data Types and Variables
Control Flow
Functions
Classes and Objects
Modules and Packages"
The DATA Set Collection #2 (Boxed Set): A Case of the Clones; Invasion of the Insects; Out of Remote Control; Down the Brain Drain,,16.89,512,4.9,89%,7%,4%,,,English,"Little Simon; Boxed Set edition (September 15, 2020)",978-1534465350,"Book 1: A Case of the Clones

Chapter 1: The Mysterious Neighbor
Chapter 2: The Clone Factory
Chapter 3: The Clones Attack
Chapter 4: The DATA Set to the Rescue
Chapter 5: The Clone Mystery Solved
Book 2: Invasion of the Insects

Chapter 1: The Shrinking Machine
Chapter 2: The Insect Invasion
Chapter 3: The DATA Set Trapped
Chapter 4: The Battle for Newtonburg
Chapter 5: The Insects Defeated
Book 3: Out of Remote Control

Chapter 1: The Remote Control Catastrophe
Chapter 2: The Time Travel Adventure
Chapter 3: The DATA Set Meets the Dinosaurs
Chapter 4: The Race Against Time
Chapter 5: The Remote Control Restored
Book 4: Down the Brain Drain

Chapter 1: The Brain Drain Experiment
Chapter 2: The DATA Set Shrinks Again
Chapter 3: The Journey Through the Human Body
Chapter 4: The Fight Against the Brain Drainer
Chapter 5: The DATA Set Saves the Day"
The Data Science Design Manual (Texts in Computer Science),,59.95,462,4.8,84%,11%,3%,2%,,English,"Springer; 1st ed. 2017 edition (August 29, 2017)",978-3319554433,"Part 1: Foundations

Chapter 1: What is Data Science?
Chapter 2: Mathematical Preliminaries
Chapter 3: Data Munging
Chapter 4: Scores and Rankings
Chapter 5: Statistical Analysis
Part 2: Data Visualization and Modeling

Chapter 6: Visualizing Data
Chapter 7: Mathematical Models
Chapter 8: Linear Algebra
Chapter 9: Linear and Logistic Regression
Chapter 10: Distance and Network Methods
Part 3: Machine Learning and Big Data

Chapter 11: Machine Learning
Chapter 12: Big Data: Achieving Scale
Coda

The Future of Data Science"
Can We Trust AI? (Johns Hopkins Wavelengths),"[ Rama Chellappa,  and , Eric Niiler]",16.95,224,,,,,,,English,"Johns Hopkins University Press (November 15, 2022)",978-1421445304,"Chapter 1: The Birth and Growth of AI

What is AI?
A brief history of AI
The different types of AI
The current state of AI
Chapter 2: Saving Lives with Artificial Intelligence

AI in healthcare
AI in disaster relief
AI in environmental protection
Chapter 3: The Complexities and Contributions of Facial Recognition

How does facial recognition work?
The benefits of facial recognition
The risks of facial recognition
Chapter 4: The Promise of Autonomous Vehicles

How self-driving cars work
The potential benefits of self-driving cars
The challenges of self-driving cars
Chapter 5: AI's Futurescape

The future of AI
How can we ensure that AI is used for good?"
The Basics of Data Literacy: Helping Your Students (And You!) Make Sense of Data - PB343X,"[ Michael Bowen,  and , Anthony Bartley]",287.14,166,4.6,85%,15%,,,,English,"National Science Teachers Association - NSTA Press (November 15, 2013)",978-1938946035,"What is Data Literacy?
Types of Data
Data Organization and Representation
Summarizing Data
Basic Statistics
Survey Basics
Visualizing Data
Critical Thinking with Data
Teaching Data Literacy
Resources"
Mathematics for Machine Learning,,48.99,398,4.7,80%,13%,3%,2%,2%,English,"Cambridge University Press; 1st edition (April 23, 2020)",978-1108455145,"Introduction and Motivation

Why is mathematics important for machine learning?
What are the core mathematical concepts used in machine learning?
How will this book help you learn the mathematics of machine learning?
Part I: Essential Mathematics for Machine Learning

Linear Algebra
Vectors and matrices
Linear transformations
Eigenvectors and eigenvalues
Matrix decompositions
Analytic Geometry
Lines and planes
Curves and surfaces
Transformations
Matrix Decompositions
Cholesky decomposition
Eigendecomposition
Singular value decomposition
Vector Calculus
Differentiation of vector-valued functions
Gradients
Hessians
Jacobians
Probability and Distribution
Random variables
Probability distributions
Joint distributions
Conditional distributions
Continuous Optimization
Gradient descent
Lagrange multipliers
Convex optimization
Part II: Central Machine Learning Problems

Linear Regression
The linear regression model
Least squares estimation
Regularization
Dimensionality Reduction with Principal Component Analysis
Principal components
PCA for dimensionality reduction
Density Estimation with Gaussian Mixture Models
Gaussian mixture models
Parameter estimation
Classification with Support Vector Machines
The SVM classifier
Kernel methods
Appendix

Mathematical Notation
Useful Mathematical Identities
Solutions to Selected Exercises"
The Art of Data Science,"[ Roger Peng,  and , Elizabeth Matsui]",20,170,4.6,74%,18%,5%,3%,,English,"Lulu.com; null edition (June 8, 2016)",978-1365061462,"Data Analysis as Art
Epicycles of Analysis
Setting the Scene
Epicycle of Analysis
Setting Expectations
Collecting Information
Comparing Expectations to Data
Applying the Epicycle of Analysis Process
Example: Asthma prevalence in the U.S.
Stating and Refining the Question
Types of Questions
Applying the Epicycle to Stating and Refining Your Question
Exploratory Data Analysis
Exploratory Data Analysis Checklist: A Case Study
Using Models to Explore Your Data
Models as Expectations
Inference: A Primer
Identify the population
Formal Modeling
General Framework
Inference vs. Prediction: Implications for Modeling Strategy
Interpreting Your Results
Principles of Interpretation
Communication
Routine communication
Concluding Thoughts
Air Pollution and Mortality in New York City
Inferring an Association
Predicting the Outcome
Summary"
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,[ Alex Gorelik],38.84,224,4.3,59%,21%,10%,5%,4%,English,"O'Reilly Media; 1st edition (March 21, 2019)",978-1491931554,"Introduction

What is a data lake?
Why is a data lake important?
The benefits of a data lake
The challenges of a data lake
Chapter 1: Introduction to Data Warehousing, Big Data, and Data Science

Data warehousing
Big data
Data science
The relationship between data warehousing, big data, and data science
Chapter 2: Various Paths Enterprises Take to Build a Data Lake

The greenfield approach
The brownfield approach
The hybrid approach
Chapter 3: Building a Self-Service Model and Best Practices for Providing Analysts Access to the Data

What is a self-service model?
The benefits of a self-service model
Best practices for providing analysts access to the data
Chapter 4: Using Different Methods for Architecting Your Data Lake

Centralized architecture
Decentralized architecture
Federated architecture
Chapter 5: Discovering Ways to Implement a Data Lake from Experts in Different Industries

Data lakes in the financial industry
Data lakes in the retail industry
Data lakes in the healthcare industry
Chapter 6: Data Lake Maturity

The different stages of data lake maturity
How to assess your data lake maturity
How to improve your data lake maturity
Chapter 7: Data Puddles

What are data puddles?
Why are data puddles a problem?
How to avoid data puddles
Chapter 8: Historical Perspective

The drive for self-service data—the birth of databases
Hadoop leads the historic shift to big data
Chapter 9: The Right Platform, the Right Data, and the Right Interface

Choosing the right platform for your data lake
Choosing the right data for your data lake
Choosing the right interface for your data lake
Chapter 10: The Data Swamp

What is a data swamp?
How to avoid a data swamp"
Quantum Machine Learning: An Applied Approach: The Theory and Application of Quantum Machine Learning in Science and Industry,[ Santanu Ganguly],49.48,572,4.1,60%,13%,13%,13%,,English,"Apress; 1st ed. edition (July 30, 2021)",978-1484270974,"Part One: Fundamental Concepts

Introduction
Machine Learning
Neural Networks
Quantum Information Science
Part Two: Quantum Machine Learning Algorithms
5. QML Algorithms I
6. QML Algorithms II

Part Three: Quantum Machine Learning Techniques
7. QML Techniques

Part Four: Deep Quantum Learning
8. Deep Quantum Learning

Part Five: QML: Way Forward
9. QML: Way Forward"
Functional Aesthetics for Data Visualization,"[ Vidya Setlur,  and , Bridget Cogley]",36.61,313,4.8,75%,25%,,,,English,"Wiley; 1st edition (September 21, 2022)",978-1119810087,"Part 1: Perception
Chapter 1: The Science Behind Perception
Chapter 2: Perception in Charts
Chapter 3: Charts in Use
Part 2: Semantics
Chapter 4: Coming to Terms
Chapter 5: Statistical Graphics Are Inherently Abstract
Chapter 6: Flattening the Curve
Part 3: Intent
Chapter 7: Visualization as Conversation
Chapter 8: The Visual Dialogue
Chapter 9: The Power of Emphasis and Contrast
Chapter 10: Intent in Interactive Visualizations
Epilogue"
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",[ EMC Education Services],54.99,432,4.4,69%,16%,7%,3%,6%,English,"Wiley; 1st edition (January 27, 2015)",978-1118876138,"Chapter 1: Introduction to Big Data Analytics
Chapter 2: Data Analytics Lifecycle
Chapter 3: Review of Basic Data Analytic Methods Using R
Chapter 4: Advanced Analytical Theory and Methods: Clustering
Chapter 5: Advanced Analytical Theory and Methods: Association Rules
Chapter 6: Advanced Analytical Theory and Methods: Regression
Chapter 7: Advanced Analytical Theory and Methods: Classification
Chapter 8: Advanced Analytical Theory and Methods: Time Series Analysis
Chapter 9: Advanced Analytical Theory and Methods: Text Analysis
Chapter 10: Big Data Processing and Storage Technologies
Chapter 11: Big Data Communication and Visualization Technologies
Chapter 12: Case Studies in Big Data Analytics"
Emotional Data,[ Abby Jame],4.99,24,5,100%,,,,,English,"Silver Sprocket (November 1, 2021)",978-1945509469,"Part 1: What is Emotional Data?

Chapter 1: Introduction to Emotional Data
Chapter 2: The Science of Emotions
Chapter 3: Measuring Emotions
Chapter 4: Collecting Emotional Data
Part 2: Applications of Emotional Data

Chapter 5: Emotional Data in Marketing
Chapter 6: Emotional Data in Product Design
Chapter 7: Emotional Data in Customer Service
Chapter 8: Emotional Data in Human Resources
Chapter 9: Emotional Data in Healthcare
Part 3: The Ethics of Emotional Data

Chapter 10: Privacy Concerns
Chapter 11: Bias and Fairness
Chapter 12: Responsible Use of Emotional Data
Conclusion

Chapter 13: The Future of Emotional Data
Appendix

Glossary of Terms
Resources for Further Learning"
"The ABCs of Data Science: By Real Data Scientists, For Future Data Scientists (Very Young Professionals)","[ Rikin Mathur, Varun Bhartia, et al.]",14.99,31,4.7,82%,9%,9%,,,English,"Very Young Professionals; Illustrated edition (October 6, 2020)",978-1734276305,"Introduction

What is Data Science?
Why is Data Science important?
Who can be a Data Scientist?
Meet the Data Science Dolphin
A is for Algorithm

What is an Algorithm?
Types of Algorithms
How to choose the right Algorithm
Examples of Algorithms in Data Science
B is for Bias

What is Bias?
Types of Bias
How to identify and mitigate Bias
Examples of Bias in Data Science
C is for Classification

What is Classification?
Types of Classification
How to build a Classification model
Examples of Classification in Data Science
D is for Data Collection

What is Data Collection?
Types of Data Collection
How to collect Data ethically and responsibly
Examples of Data Collection in Data Science
E is for Exploratory Data Analysis (EDA)

What is Exploratory Data Analysis?
Steps in EDA
Tools for EDA
Examples of EDA in Data Science
F is for Feature Engineering

What is Feature Engineering?
Types of Feature Engineering
How to engineer Features effectively
Examples of Feature Engineering in Data Science
G is for Gradient Descent

What is Gradient Descent?
How Gradient Descent works
Types of Gradient Descent
Examples of Gradient Descent in Data Science
H is for Hypothesis Testing

What is Hypothesis Testing?
Types of Hypothesis Testing
How to conduct a Hypothesis Test
Examples of Hypothesis Testing in Data Science
I is for Information Visualization

What is Information Visualization?
Types of Information Visualization
How to create effective Information Visualizations
Examples of Information Visualization in Data Science
J is for Joint Distributions

What are Joint Distributions?
Types of Joint Distributions
How to calculate Joint Distributions
Examples of Joint Distributions in Data Science
K is for K-Means Clustering

What is K-Means Clustering?
How K-Means Clustering works
How to choose the right value of K
Examples of K-Means Clustering in Data Science
L is for Linear Regression

What is Linear Regression?
Types of Linear Regression
How to build a Linear Regression model
Examples of Linear Regression in Data Science
M is for Machine Learning

What is Machine Learning?
Types of Machine Learning
How to choose the right Machine Learning algorithm
Examples of Machine Learning in Data Science
N is for Natural Language Processing (NLP)

What is Natural Language Processing?
Types of NLP tasks
How to perform NLP tasks
Examples of NLP in Data Science
O is for Overfitting

What is Overfitting?
Types of Overfitting
How to prevent Overfitting
Examples of Overfitting in Data Science
P is for Precision and Recall

What are Precision and Recall?
How to calculate Precision and Recall
How to improve Precision and Recall
Examples of Precision and Recall in Data Science
Q is for Qualitative Data

What is Qualitative Data?
Types of Qualitative Data
How to collect and analyze Qualitative Data
Examples of Qualitative Data in Data Science
R is for Random Forests

What are Random Forests?
How Random Forests work
How to train and evaluate Random Forests
Examples of Random Forests in Data Science
S is for Supervised Learning

What is Supervised Learning?
Types of Supervised Learning
How to choose the right Supervised Learning algorithm
Examples of Supervised Learning in Data Science
T is for Tableau

What is Tableau?
How to use Tableau to create Data Visualizations
Types of Data Visualizations in Tableau
Examples of Tableau Visualizations in Data Science
U is for Unsupervised Learning

What is Unsupervised Learning?
Types of Unsupervised Learning
How to choose the right Unsupervised Learning algorithm
Examples of Unsupervised Learning in Data Science
V is for Variable Selection

What is Variable Selection?
Methods of Variable Selection
How to choose the right Variable Selection method
Examples of Variable Selection in Data Science
W is for Web Scraping

What is Web Scraping?
How to Web Scrape
Ethical considerations for Web Scraping
Examples of Web Scraping in Data Science
X is for XGBoost

What is XGBoost?
How XGBoost works
How to train and evaluate XGBoost models
Examples of XGBoost in Data"
AI at the Edge: Solving Real-World Problems with Embedded Machine Learning,"[ Daniel Situnayake,  and , Jenny Plunkett]",69.99,450,,,,,,,English,"O'Reilly Media; 1st edition (February 21, 2023)",978-1098120207,"Introduction

What is Edge AI?
Benefits and Challenges of Edge AI
Applications of Edge AI
Getting Started with Edge AI
Part 1: Foundational Concepts

Chapter 1: Machine Learning for Edge Devices
Chapter 2: Embedded System Design for Edge AI
Chapter 3: Data Collection and Preparation for Edge AI
Chapter 4: Model Training and Optimization for Edge AI
Part 2: Developing Edge AI Applications

Chapter 5: Image Recognition at the Edge
Chapter 6: Natural Language Processing at the Edge
Chapter 7: Sensor Fusion at the Edge
Chapter 8: Anomaly Detection at the Edge
Chapter 9: Predictive Maintenance at the Edge
Part 3: Deploying and Managing Edge AI Systems

Chapter 10: Edge AI Development Workflow
Chapter 11: Edge AI Security and Privacy
Chapter 12: Edge AI Monitoring and Maintenance
Conclusion

The Future of Edge AI
Appendix

Glossary of Terms
Resources for Edge AI Developers
About the Authors"
"Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (AI, Data Science, Python & Statistics for Beginners Book 3)",,,167,4.5,68%,18%,8%,3%,2%,English,"Scatterplot Press; 2nd edition (June 21, 2017)",,"Chapter 1: What is Machine Learning?

What is machine learning?
How does machine learning work?
Types of machine learning
Real-world applications of machine learning
Chapter 2: Supervised Learning

What is supervised learning?
How does supervised learning work?
Common supervised learning algorithms
Real-world examples of supervised learning
Chapter 3: Unsupervised Learning

What is unsupervised learning?
How does unsupervised learning work?
Common unsupervised learning algorithms
Real-world examples of unsupervised learning
Chapter 4: Reinforcement Learning

What is reinforcement learning?
How does reinforcement learning work?
Common reinforcement learning algorithms
Real-world examples of reinforcement learning
Chapter 5: Python for Machine Learning

What is Python?
Why Python for machine learning?
Getting started with Python for machine learning
Common Python libraries for machine learning
Chapter 6: Machine Learning Projects

What is a machine learning project?
How to start a machine learning project
Common machine learning project challenges
Real-world machine learning project examples
Chapter 7: The Future of Machine Learning

The impact of machine learning on society
The ethical considerations of machine learning
The future of machine learning
Appendix A: Python Crash Course

Variables and data types
Conditional statements
Loops
Functions
Classes and objects
Appendix B: Statistics for Machine Learning

Descriptive statistics
Inferential statistics
Linear regression
Logistic regression
Appendix C: Resources

Online courses
Books
Articles and tutorials
Machine learning communities"
Power and Prediction: The Disruptive Economics of Artificial Intelligence,"[ Ajay Agrawal, Joshua Gans, et al.]",27,288,4.4,84%,16%,,,,English,"Harvard Business Review Press (November 15, 2022)",978-1647824198,"Part 1 The Fundamentals

A Parable of Three Entrepreneurs
AI's System Future
AI Is Prediction Technology
Part 2 Rules

To Decide or Not to Decide
Hidden Uncertainty
Rules Are Glue
Part 3 Systems

Glued versus Oiled Systems
The System Mindset
The Greatest System of All
Part 4 Power

Disruption and Power
Do Machines Have Power?
Accumulating Power
Part 5 How AI Disrupts

A Great Decoupling
Thinking Probabilistically
The New Judges
Part 6 Envisaging New Systems

Designing Reliable Systems
The Blank Slate
Anticipating System Change"
